,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
5716,A. Lotti,26,Argentina,70,Atlético Tucumán,€2M,€8K,Right,1.0,Medium/ High,179cm,70.0
5717,22 N. Čumić,22,Serbia,67,FC Luzern,€2.3M,€500,Right,1.0,Medium/ Medium,176cm,70.0
5718,Joelson Fernandes,19,Portugal,68,FC Basel 1893,€2.9M,€3K,Right,1.0,Medium/ Medium,172cm,64.0
5719,Àlex Sala,21,Spain,64,Girona FC,€1.2M,€4K,Right,1.0,Medium/ Medium,185cm,78.0
5720,22 L. Campos,20,Peru,64,Sport Huancayo,€1.2M,€500,Left,1.0,High/ High,175cm,72.0
5721,22 J. Vodhanel,24,Czech Republic,63,FC Flyeralarm Admira,€650K,€2K,Left,1.0,Medium/ Medium,175cm,71.0
5722,B. Norton-Cuffy,18,England,65,Arsenal,€1.6M,€5K,Right,1.0,Medium/ Medium,181cm,70.0
5723,J. Eijgenraam,20,Netherlands,64,Excelsior,€1.2M,€1K,Right,1.0,Medium/ High,180cm,80.0
5724,22 Javi Robles,20,Spain,64,Unión Deportiva Almería,€1.3M,€2K,Right,1.0,Medium/ High,186cm,71.0
5725,M. Kizza,22,Uganda,63,FC Arouca,€725K,€1K,Left,1.0,High/ Medium,185cm,73.0
5726,21 P. Ríos,20,Mexico,59,Club América,€600K,€4K,Left,1.0,High/ High,177cm,62.0
5727,J. Niezgoda,27,Poland,70,Portland Timbers,€1.7M,€6K,Right,1.0,Medium/ Medium,185cm,77.0
5728,22 F. Góndola,25,Panama,65,Deportivo Táchira FC,€900K,€500,Right,1.0,Medium/ Medium,186cm,74.0
5729,22 A. Organista,21,Mexico,62,Club Deportivo Guadalajara,€900K,€6K,Right,1.0,High/ Medium,162cm,51.0
5730,22 Iván Castillo,21,Spain,61,Real Zaragoza,€725K,€1K,Right,1.0,Medium/ Medium,176cm,73.0
5731,L. Lucca,21,Italy,71,Ajax,€4.2M,€3K,Right,1.0,Medium/ Medium,201cm,83.0
5732,21 Aranda,19,Spain,61,Granada CF,€775K,€2K,Right,1.0,Medium/ Medium,175cm,62.0
5733,S. van den Berg,20,Netherlands,71,Liverpool,€3.8M,€34K,Right,1.0,Medium/ Medium,194cm,78.0
5734,21 F. Mejía,25,Ecuador,61,Club Deportivo El Nacional,€450K,€500,Right,1.0,High/ Medium,180cm,78.0
5735,22 I. Shkurin,21,Belarus,66,Raków Częstochowa,€1.4M,€2K,Right,1.0,Medium/ Low,188cm,80.0
5736,I. Rădescu,27,Romania,62,CS Mioveni,€425K,€1K,Right,1.0,High/ Medium,176cm,73.0
5737,J. Berdecio,19,Bolivia,59,Club Deportivo Oriente Petrolero,€475K,€500,Right,1.0,Medium/ Medium,177cm,71.0
5738,21 R. Salinas,32,Paraguay,64,Club River Plate Asunción,€375K,€500,Left,1.0,Low/ High,175cm,74.0
5739,22 Adílio Santos,27,Brazil,66,FC Arouca,€900K,€3K,Left,1.0,High/ Medium,178cm,72.0
5740,22 F. Fehr,20,Switzerland,60,Grasshopper Club Zürich,€525K,€1K,Right,1.0,High/ Medium,179cm,69.0
5741,J. Bone,18,Ecuador,58,C.D. Universidad Católica del Ecuador,€475K,€500,Right,1.0,Medium/ Medium,178cm,71.0
5742,Fábio Cardoso,28,Portugal,75,FC Porto,€5.5M,€12K,Right,1.0,Medium/ High,187cm,81.0
5743,D. Čolina,21,Croatia,68,Hajduk Split,€2.6M,€500,Left,1.0,Low/ Medium,174cm,68.0
5744,R. Edmonds-Green,23,England,68,Huddersfield Town,€1.7M,€7K,Right,1.0,High/ Medium,181cm,73.0
5745,M. Hofmann,28,Austria,69,SK Rapid Wien,€1.3M,€13K,Right,1.0,Low/ High,183cm,70.0
5746,22 G. Marín,20,Venezuela,62,Deportivo La Guaira FC,€950K,€500,Right,1.0,High/ Medium,169cm,67.0
5747,21 J. Gatt,28,United States,61,Dundalk FC,€325K,€850,Right,1.0,Medium/ Medium,177cm,73.0
5748,A. Barison,27,Italy,71,Südtirol,€2M,€3K,Right,1.0,Medium/ High,186cm,78.0
5749,A. Jankewitz,20,Switzerland,60,BSC Young Boys,€650K,€3K,Right,1.0,Medium/ Medium,185cm,80.0
5750,S. Giordano,20,Italy,62,Ascoli,€875K,€850,Left,1.0,High/ Medium,175cm,75.0
5751,G. Simeone,19,Argentina,65,Real Zaragoza,€1.7M,€7K,Right,1.0,Medium/ Medium,184cm,72.0
5752,21 M. Freites,21,Argentina,63,Godoy Cruz,€1.2M,€2K,Right,1.0,Medium/ Medium,175cm,75.0
5753,R. Brewster,22,England,69,Sheffield United,€3.2M,€13K,Right,1.0,Medium/ Medium,180cm,75.0
5754,S. Berhalter,21,United States,62,Vancouver Whitecaps FC,€850K,€1K,Right,1.0,Medium/ High,175cm,70.0
5755,16 J. Carson,22,Northern Ireland,59,York City,€200K,€2K,Left,1.0,Medium/ Medium,175cm,70.0
5756,22 M. Giménez,24,Argentina,69,Club Necaxa,€2M,€7K,Right,1.0,Medium/ Medium,184cm,83.0
5757,I. Ogbu,22,Nigeria,69,Lillestrøm SK,€2.6M,€2K,Right,1.0,Medium/ Medium,187cm,78.0
5758,21 Manu Viana,25,Spain,62,FC Cartagena,€525K,€2K,Left,1.0,Medium/ High,170cm,71.0
5759,F. Gattoni,23,Argentina,69,San Lorenzo de Almagro,€2.6M,€6K,Right,1.0,Medium/ High,183cm,79.0
5760,Migue,25,Spain,64,Villarreal Club de Fútbol B,€750K,€2K,Right,1.0,High/ Medium,176cm,71.0
5761,22 M. Mosquera,36,Ecuador,67,Mushuc Runa,€200K,€500,Right,1.0,Medium/ Medium,171cm,71.0
5762,P. Jones,30,England,73,Manchester United,€2.5M,€64K,Right,2.0,Low/ High,185cm,71.0
5763,Ruan,27,Brazil,67,Orlando City Soccer Club,€1.1M,€3K,Right,1.0,Medium/ High,170cm,66.0
5764,20 A. Smith-Brown,23,England,64,Oldham Athletic,€575K,€4K,Right,1.0,Medium/ Medium,179cm,74.0
5765,20 J. Molangoane,31,South Africa,68,Kaizer Chiefs,€775K,€500,Right,1.0,Medium/ Medium,162cm,65.0
5766,S. Gregersen,27,Norway,71,FC Girondins de Bordeaux,€2.1M,€6K,Right,1.0,Medium/ Medium,191cm,83.0
5767,22 Alarcón,27,Spain,64,Burgos CF,€625K,€2K,Left,1.0,High/ Medium,178cm,74.0
5768,I. Diop,25,France,77,West Ham United,€14M,€53K,Right,2.0,Medium/ Medium,194cm,92.0
5769,J. Hernández,25,Venezuela,64,Independiente Medellín,€700K,€850,Right,1.0,Medium/ Medium,179cm,71.0
5770,A. Buongiorno,23,Italy,68,Torino F.C.,€2.5M,€12K,Left,1.0,Medium/ Medium,194cm,80.0
5771,A. Dovbyk,25,Ukraine,70,,€0,€0,Left,1.0,High/ Low,185cm,78.0
5772,21 A. Miranda,27,Uruguay,60,Club Plaza de Deportes Colonia,€250K,€500,Right,1.0,High/ High,177cm,74.0
5773,21 K. Lazaridis,17,Greece,61,Panathinaikos FC,€650K,€500,Left,1.0,High/ Medium,173cm,71.0
5774,22 W. Mejía,22,Mexico,62,Club Atlético de San Luis,€900K,€7K,Right,1.0,High/ Medium,183cm,74.0
5775,V. Černý,24,Czech Republic,70,FC Twente,€2.4M,€8K,Left,1.0,Medium/ High,182cm,65.0
5776,22 J. Zarza,19,Argentina,63,Club Atlético Independiente,€1M,€2K,Right,1.0,High/ Low,170cm,72.0
5777,J. Sands,21,United States,68,Rangers FC,€2.5M,€2K,Right,1.0,Medium/ High,186cm,73.0
5778,N. Colombo,23,Argentina,71,Defensa y Justicia,€3.9M,€8K,Right,1.0,Medium/ Medium,184cm,78.0
5779,F. Antonucci,23,Belgium,66,FC Volendam,€1.9M,€3K,Right,1.0,Medium/ Medium,172cm,66.0
5780,Luís Santos,22,Portugal,64,Boavista FC,€1.3M,€3K,Right,1.0,Medium/ Medium,176cm,68.0
5781,H. Hackney,20,England,59,Middlesbrough,€550K,€3K,Right,1.0,Medium/ Medium,178cm,70.0
5782,F. Uduokhai,24,Germany,75,FC Augsburg,€7M,€20K,Left,2.0,Medium/ Medium,193cm,89.0
5783,J. Vivar,23,Ecuador,65,C.D. Universidad Católica del Ecuador,€1.6M,€500,Left,1.0,Medium/ Medium,167cm,61.0
5784,21 Dani Martín,23,Spain,63,Unión Deportiva Las Palmas,€1M,€2K,Left,1.0,Medium/ Medium,175cm,65.0
5785,22 Sergi Samper,26,Spain,70,Vissel Kobe,€1.5M,€6K,Right,1.0,Low/ Medium,182cm,73.0
5786,J. Rodríguez,23,Ecuador,66,CS Emelec,€1.2M,€500,Left,1.0,Medium/ High,180cm,65.0
5787,C. Mola,21,England,65,VfB Stuttgart,€1.5M,€4K,Left,1.0,Medium/ Medium,184cm,80.0
5788,G. Yalçın,23,Turkey,69,Genoa,€2.8M,€3K,Right,1.0,High/ Medium,184cm,77.0
5789,L. Benedetti,22,Italy,63,Bari,€1.1M,€4K,Right,1.0,Medium/ Medium,180cm,73.0
5790,J. Onguéné,24,Cameroon,72,Eintracht Frankfurt,€3.4M,€15K,Right,1.0,Medium/ Medium,186cm,78.0
5791,B. Taz,23,Germany,67,SV Waldhof Mannheim 07,€1.6M,€2K,Right,1.0,Medium/ Low,175cm,72.0
5792,Pedro Malheiro,21,Portugal,63,Boavista FC,€1M,€2K,Right,1.0,High/ Medium,179cm,69.0
5793,22 F. Doucouré,20,Mali,66,Stade de Reims,€1.8M,€5K,Right,1.0,Medium/ Medium,172cm,61.0
5794,M. Schmidt,26,Germany,62,VfB Oldenburg,€500K,€500,Right,1.0,Medium/ Medium,186cm,71.0
5795,A. Carlén,22,Sweden,62,Degerfors IF,€900K,€700,Right,1.0,Medium/ High,193cm,85.0
5796,M. Lazetić,18,Serbia,65,AC Milan,€2M,€6K,Right,1.0,High/ Medium,192cm,80.0
5797,R. Zietarski,29,Poland,63,VfB Oldenburg,€400K,€550,Right,1.0,Medium/ Medium,185cm,78.0
5798,M. Torres,26,Colombia,68,América de Cali,€1.5M,€1K,Right,1.0,Low/ High,180cm,70.0
5799,A. Florenzi,20,Italy,65,Cosenza,€1.6M,€700,Right,1.0,Medium/ Medium,183cm,75.0
5800,A. Rahmanović,28,Bosnia and Herzegovina,65,İttifak Holding Konyaspor,€725K,€5K,Left,1.0,High/ Medium,192cm,82.0
5801,22 T. Hiraoka,18,Japan,60,Shonan Bellmare,€525K,€500,Right,1.0,Medium/ Medium,172cm,65.0
5802,22 S. Berahino,27,Burundi,65,Sheffield Wednesday,€775K,€2K,Right,2.0,Low/ Low,180cm,82.0
5803,K. de la Fuente,20,United States,73,Olympique de Marseille,€4.3M,€24K,Right,1.0,Medium/ Low,170cm,63.0
5804,M. Klimowicz,21,Germany,67,VfB Stuttgart,€2.3M,€7K,Right,1.0,Medium/ Low,179cm,75.0
5805,J. Hernandez,21,United States,60,KV Mechelen,€550K,€2K,Left,1.0,Medium/ Medium,170cm,68.0
5806,F. Kath,27,Germany,64,1. FC Magdeburg,€625K,€4K,Left,1.0,Medium/ Medium,186cm,76.0
5807,S. Engelmann,33,Germany,65,Rot-Weiß Essen,€450K,€2K,Left,1.0,Medium/ Medium,188cm,87.0
5808,R. Højlund,19,Denmark,67,SK Sturm Graz,€2.4M,€5K,Left,1.0,Medium/ High,187cm,79.0
5809,Gabriel Pereira,20,Brazil,68,New York City FC,€2.6M,€3K,Left,1.0,Medium/ Medium,170cm,67.0
5810,22 Léo Natel,24,Brazil,68,APOEL Nicosia FC,€1.6M,€500,Right,1.0,Medium/ Medium,179cm,73.0
5811,J. Chianese,32,Australia,63,Hyderabad FC,€375K,€500,Right,1.0,Medium/ Medium,176cm,75.0
5812,21 J. Ordóñez,25,Ecuador,64,Guayaquil City FC,€700K,€500,Right,1.0,Medium/ Medium,181cm,69.0
5813,21 F. Perinciolo,23,Argentina,61,Club Atlético Aldosivi,€525K,€2K,Left,1.0,Medium/ Medium,184cm,75.0
5814,A. Rodríguez,21,Paraguay,66,Club Cerro Porteño,€1.9M,€500,Left,1.0,High/ High,174cm,70.0
5815,21 A. Ammerer,23,Austria,60,SV Ried,€375K,€2K,Right,1.0,Medium/ Medium,180cm,78.0
5816,J. Olayinka,21,England,60,Arsenal,€600K,€8K,Right,1.0,High/ Medium,175cm,68.0
5817,M. Nawrocki,21,Poland,65,Legia Warszawa,€1.7M,€2K,Right,1.0,High/ Medium,185cm,74.0
5818,S. Sessegnon,22,England,66,Charlton Athletic,€1.8M,€12K,Right,1.0,High/ Medium,174cm,68.0
5819,Marcelo,35,Brazil,72,Western Sydney Wanderers,€625K,€5K,Right,2.0,Low/ High,191cm,85.0
5820,22 M. Hector,28,Jamaica,71,Fulham,€1.8M,€31K,Right,1.0,Low/ Medium,193cm,82.0
5821,G. Caso,23,Italy,66,Frosinone,€1.4M,€1K,Right,1.0,Medium/ Medium,172cm,65.0
5822,Þ. Helgason,21,Iceland,65,Lecce,€1.6M,€3K,Right,1.0,High/ Medium,187cm,78.0
5823,J. Vestergaard,29,Denmark,75,Leicester City,€4.7M,€60K,Right,2.0,Medium/ Medium,199cm,96.0
5824,T. Lockyer,27,Wales,70,Luton Town,€1.7M,€17K,Right,1.0,Medium/ High,185cm,72.0
5825,O. Daedlow,22,Germany,63,F.C. Hansa Rostock,€700K,€2K,Right,1.0,Medium/ High,180cm,75.0
5826,M. Ndiaye,21,Senegal,62,Estoril Praia,€850K,€1K,Right,1.0,High/ High,185cm,78.0
5827,B. Bender,21,United States,64,Charlotte FC,€1.4M,€2K,Left,1.0,High/ Medium,183cm,75.0
5828,D. Valencia,22,Chile,70,US Salernitana 1919,€3.6M,€14K,Right,1.0,Medium/ Medium,184cm,75.0
5829,Arribas,23,Spain,65,FC Cartagena,€1.4M,€2K,Right,1.0,High/ Medium,183cm,68.0
5830,T. Iroegbunam,19,England,62,Aston Villa,€1.1M,€6K,Right,1.0,Medium/ Medium,183cm,70.0
5831,S. Herrera,22,Venezuela,65,Deportivo La Guaira FC,€1.5M,€500,Right,1.0,High/ Low,181cm,74.0
5832,C. Sandra,18,Belgium,64,Club Brugge KV,€1.5M,€2K,Left,1.0,Medium/ Medium,184cm,76.0
5833,D. Burn,30,England,77,Newcastle United,€8.5M,€69K,Left,1.0,Medium/ High,198cm,87.0
5834,E. Tavşan,21,Netherlands,68,N.E.C. Nijmegen,€2.7M,€4K,Left,1.0,Medium/ Medium,183cm,74.0
5835,H. Carter,22,England,66,Blackburn Rovers,€1.8M,€10K,Right,1.0,Medium/ Medium,188cm,67.0
5836,A. Foti,18,Cyprus,60,Hannover 96,€675K,€1K,Right,1.0,High/ Medium,180cm,74.0
5837,22 K. Kitagawa,24,Japan,65,SK Rapid Wien,€1M,€7K,Right,1.0,High/ Low,180cm,74.0
5838,Lee Gwang Hyeok,26,Korea Republic,65,Pohang Steelers,€850K,€2K,Left,1.0,Medium/ Medium,169cm,60.0
5839,M. Portillo,22,Argentina,62,Newell's Old Boys,€625K,€2K,Right,1.0,Medium/ Medium,174cm,70.0
5840,B. Tetteh,24,Ghana,72,Hull City,€3.4M,€13K,Right,1.0,High/ Low,193cm,91.0
5841,N. Naujoks,20,Netherlands,61,Feyenoord,€800K,€1K,Right,1.0,High/ Medium,183cm,75.0
5842,C. Gunter,32,Wales,62,AFC Wimbledon,€275K,€2K,Right,1.0,Medium/ High,180cm,71.0
5843,21 P. Laredo,27,Bolivia,66,Club Deportivo Jorge Wilstermann,€975K,€500,Right,1.0,Medium/ High,175cm,66.0
5844,V. Melgar,34,Bolivia,62,Independiente Petrolero,€140K,€500,Right,1.0,Medium/ High,171cm,71.0
5845,M. Rogers,19,England,66,Manchester City,€2.2M,€17K,Right,1.0,High/ Medium,187cm,80.0
5846,22 W. Meneses,25,Ecuador,64,Delfín Sporting Club,€725K,€500,Left,1.0,Medium/ Medium,181cm,79.0
5847,Murilo,26,Brazil,62,HJK Helsinki,€475K,€500,Left,1.0,Medium/ Medium,180cm,70.0
5848,C. Morris,26,England,68,Luton Town,€1.6M,€15K,Right,1.0,Medium/ High,185cm,85.0
5849,F. Okenabirhie,26,England,63,Cambridge United,€600K,€2K,Right,1.0,Medium/ Medium,178cm,74.0
5850,C. Gustafsson,22,Sweden,66,Kalmar FF,€1.9M,€1K,Right,1.0,Medium/ Medium,180cm,78.0
5851,J. Angulo,26,Colombia,68,Club Deportes Tolima,€1.5M,€2K,Left,1.0,Medium/ Medium,184cm,79.0
5852,D. Ball,26,England,68,Ipswich Town,€1.4M,€6K,Right,1.0,Low/ High,185cm,75.0
5853,I. Sadiq,22,Ghana,65,BK Häcken,€1.6M,€2K,Right,1.0,High/ Medium,168cm,68.0
5854,Jorge Padilla,21,Spain,65,CD Tenerife,€1.8M,€2K,Right,1.0,High/ High,175cm,66.0
5855,S. Dikmen,28,Turkey,66,İttifak Holding Konyaspor,€750K,€5K,Right,1.0,Medium/ Medium,179cm,75.0
5856,M. Tounkara,26,Senegal,65,Cittadella,€900K,€1K,Right,1.0,High/ Medium,184cm,79.0
5857,Heitor,21,Brazil,68,KSV Cercle Brugge,€2.6M,€4K,Right,1.0,High/ Medium,174cm,67.0
5858,J. Moylan,20,Republic of Ireland,60,Shelbourne FC,€550K,€500,Right,1.0,High/ Medium,181cm,58.0
5859,S. Kartum,26,Norway,62,Kristiansund BK,€475K,€950,Right,1.0,Medium/ Medium,180cm,73.0
5860,Javi Guerra,19,Spain,63,Valencia CF,€1.2M,€4K,Right,1.0,Medium/ Medium,187cm,70.0
5861,S. Jaurena,22,Argentina,61,Unión de Santa Fe,€525K,€2K,Right,1.0,Medium/ Medium,175cm,76.0
5862,P. Fuentes,26,Peru,67,Cienciano,€1.3M,€500,Right,1.0,Medium/ Medium,178cm,77.0
5863,S. Appelkamp,21,Germany,70,Fortuna Düsseldorf,€3.6M,€10K,Right,1.0,Medium/ Medium,175cm,70.0
5864,M. Hober,26,Germany,62,Borussia Dortmund II,€475K,€1K,Left,1.0,Medium/ Medium,172cm,70.0
5865,S. Mulattieri,21,Italy,66,Frosinone,€2.1M,€1K,Right,1.0,Medium/ Medium,183cm,77.0
5866,Tiago Morais,18,Portugal,65,Boavista FC,€1.8M,€2K,Right,1.0,High/ Medium,171cm,66.0
5867,A. Al Haider,25,Saudi Arabia,60,Al Adalah,€325K,€3K,Right,1.0,High/ Medium,173cm,59.0
5868,O. Vargas,16,United States,64,Seattle Sounders FC,€1.5M,€500,Right,1.0,High/ Medium,175cm,68.0
5869,22 Quintana,19,Spain,65,Málaga CF,€1.6M,€1K,Right,1.0,Medium/ High,186cm,74.0
5870,D. Rugani,27,Italy,76,Juventus,€7.5M,€72K,Right,2.0,Low/ Medium,190cm,84.0
5871,J. Gómez,20,United States,65,FSV Zwickau,€1.7M,€700,Right,1.0,High/ Medium,183cm,78.0
5872,D. Ndlovu,32,South Africa,70,Changchun Yatai FC,€1.3M,€7K,Left,1.0,High/ Low,182cm,88.0
5873,G. Benítez,28,Venezuela,66,Deportivo Táchira FC,€775K,€500,Left,1.0,Medium/ High,180cm,72.0
5874,22 M. Duffard,32,Uruguay,63,Club Social y Deportivo Macará,€325K,€500,Right,1.0,Medium/ Medium,180cm,76.0
5875,T. Galván,22,Argentina,66,Defensa y Justicia,€1.9M,€4K,Right,1.0,Medium/ Low,172cm,66.0
5876,22 M. Ovejero,34,Argentina,63,Club Always Ready,€230K,€500,Right,1.0,High/ Medium,170cm,72.0
5877,L. Cueto,26,Germany,67,Karlsruher SC,€1.2M,€6K,Right,1.0,High/ Low,175cm,64.0
5878,E. Fereira,21,Venezuela,67,Casa Pia,€2.2M,€2K,Right,1.0,Medium/ Low,170cm,65.0
5879,M. Braida,25,Argentina,67,San Lorenzo de Almagro,€1.3M,€5K,Right,1.0,Medium/ Low,175cm,72.0
5880,D. Devoy,20,Republic of Ireland,63,Milton Keynes Dons,€1.3M,€2K,Right,1.0,High/ Medium,177cm,66.0
5881,M. Højholt,21,Denmark,67,Aalborg BK,€2.2M,€4K,Right,1.0,High/ High,182cm,65.0
5882,Rober,21,Spain,69,Real Betis Balompié,€3.1M,€8K,Left,1.0,High/ Medium,169cm,63.0
5883,O. Bunjaku,20,Switzerland,60,Grenoble Foot 38,€550K,€800,Left,1.0,Medium/ Medium,180cm,75.0
5884,22 M. Akça,30,Turkey,66,Altay SK,€700K,€4K,Right,1.0,Low/ Medium,184cm,76.0
5885,H. Sarpei,23,Ghana,67,FC Ingolstadt 04,€1.4M,€3K,Right,1.0,Medium/ Medium,178cm,72.0
5886,S. Vines,23,United States,69,Royal Antwerp FC,€2.1M,€8K,Left,1.0,High/ High,177cm,72.0
5887,R. Márquez,20,Argentina,67,Club Atlético Independiente,€2M,€4K,Left,1.0,Medium/ Medium,177cm,76.0
5888,K. Schumacher,24,Germany,65,F.C. Hansa Rostock,€1.1M,€3K,Left,1.0,Medium/ Low,182cm,72.0
5889,M. Chanot,32,Luxembourg,72,New York City FC,€1.5M,€6K,Right,1.0,Medium/ High,186cm,84.0
5890,L. Colombo,20,Italy,69,Lecce,€3.1M,€20K,Left,1.0,Medium/ Medium,183cm,74.0
5891,J. Oosterwolde,21,Netherlands,66,Parma,€2M,€1K,Left,1.0,Medium/ Medium,189cm,74.0
5892,G. Pepsi,23,Kosovo,62,FC Winterthur,€575K,€1K,Right,1.0,Medium/ High,180cm,74.0
5893,R. Hernández,21,Venezuela,61,Metropolitanos de Caracas FC,€525K,€500,Right,1.0,High/ Medium,180cm,81.0
5894,22 K. Sibo,23,Ghana,63,Real Betis Balompié,€1M,€4K,Right,1.0,Medium/ High,182cm,72.0
5895,G. Infantino,19,Argentina,65,Rosario Central,€1.8M,€2K,Left,1.0,Medium/ Medium,179cm,74.0
5896,S. Ahmed,28,United Arab Emirates,62,Al Ain FC,€400K,€500,Left,1.0,Medium/ High,179cm,71.0
5897,15 S. Abu Hash'hash,33,Jordan,66,Al Taawoun,€275K,€4K,Right,1.0,Medium/ Medium,179cm,72.0
5898,22 X. Emmers,20,Belgium,62,Inter,€875K,€10K,Right,1.0,High/ Medium,178cm,72.0
5899,S. Strandberg,31,Norway,71,Vålerenga Fotball,€1.3M,€4K,Right,1.0,Medium/ Medium,189cm,80.0
5900,22 F. Gonzáles,21,Bolivia,66,Platense,€1.9M,€3K,Right,1.0,Medium/ Medium,179cm,74.0
5901,P. Lagemyr,25,Sweden,66,IK Sirius,€1.1M,€2K,Right,1.0,Medium/ Low,167cm,58.0
5902,F. Platte,26,Germany,70,SC Paderborn 07,€2.1M,€13K,Right,1.0,Medium/ Medium,190cm,86.0
5903,22 J. Gallego,20,Colombia,61,La Equidad,€725K,€500,Right,1.0,Medium/ Medium,174cm,65.0
5904,22 P. Pokorný,19,Slovakia,65,Real Sociedad B,€1.6M,€1K,Right,1.0,Medium/ Medium,183cm,76.0
5905,T. Gulliksen,18,Norway,62,Strømsgodset IF,€1M,€500,Right,1.0,Medium/ Medium,177cm,60.0
5906,Miguel,22,Spain,69,Deportivo Alavés,€3.2M,€6K,Right,1.0,High/ Medium,188cm,83.0
5907,Zé Uilton,29,Brazil,69,FC Paços de Ferreira,€1.4M,€6K,Right,1.0,Medium/ Medium,175cm,70.0
5908,K. Cabral,22,France,66,LA Galaxy,€1.9M,€2K,Right,1.0,Medium/ Low,183cm,75.0
5909,E. List,25,England,64,Stevenage,€750K,€3K,Right,1.0,High/ Medium,174cm,74.0
5910,R. Abascal,28,Uruguay,70,Boavista FC,€1.6M,€8K,Left,1.0,Medium/ High,186cm,80.0
5911,21 J. Mertens,20,Belgium,64,Waasland-Beveren,€1.2M,€2K,Right,1.0,High/ Medium,181cm,70.0
5912,M. Šviderský,19,Slovakia,64,Unión Deportiva Almería,€1.3M,€3K,Left,1.0,Medium/ Medium,181cm,70.0
5913,E. Aiwu,21,Austria,67,US Cremonese,€2.1M,€3K,Right,1.0,Medium/ Medium,185cm,77.0
5914,B. Mansilla,20,Uruguay,62,Club Atlético Peñarol,€875K,€500,Left,1.0,Medium/ Medium,176cm,75.0
5915,M. Sala,23,Italy,68,Palermo,€2.3M,€10K,Left,1.0,High/ Medium,182cm,72.0
5916,D. Lachman,32,Curacao,67,Perth Glory,€650K,€2K,Right,1.0,High/ Medium,189cm,75.0
5917,D. Potts,28,England,67,Luton Town,€925K,€11K,Left,1.0,Medium/ Medium,178cm,70.0
5918,22 Matheus Silva,23,Brazil,67,Moreirense FC,€1.4M,€4K,Right,1.0,Medium/ Medium,182cm,73.0
5919,I. Ćubelić,19,Croatia,64,Hajduk Split,€1.5M,€500,Right,1.0,Medium/ Medium,184cm,76.0
5920,B. Bolla,22,Hungary,65,Grasshopper Club Zürich,€1.5M,€13K,Right,1.0,High/ Medium,182cm,78.0
5921,22 M. Młyński,20,Poland,63,Wisła Kraków,€1.1M,€1K,Right,1.0,Medium/ Medium,178cm,67.0
5922,A. Badji,24,Senegal,68,Amiens SC,€1.9M,€3K,Right,1.0,Medium/ Low,189cm,75.0
5923,M. Mustapha,21,Austria,64,1. FSV Mainz 05,€1.3M,€5K,Right,1.0,High/ Medium,183cm,82.0
5924,Ruben Bover,30,Spain,61,FC Andorra,€325K,€1K,Left,1.0,High/ Medium,170cm,66.0
5925,22 I. Kaczmarski,17,Poland,58,Empoli,€600K,€500,Right,1.0,Medium/ High,183cm,73.0
5926,G. Sloggett,25,Republic of Ireland,63,Dundalk FC,€550K,€800,Right,1.0,Medium/ Medium,188cm,75.0
5927,J. Brown,24,Republic of Ireland,63,Stockport County,€675K,€7K,Right,1.0,High/ High,177cm,77.0
5928,E. Salazar,21,Bolivia,60,Club Deportivo Guabirá,€500K,€500,Right,1.0,Medium/ Medium,175cm,70.0
5929,R. Becker,25,Germany,67,SG Dynamo Dresden,€1.3M,€3K,Right,1.0,Medium/ Medium,183cm,79.0
5930,J. van Kaam,20,Netherlands,62,FC Groningen,€825K,€1K,Right,1.0,High/ Medium,179cm,70.0
5931,L. Giannetti,28,Argentina,75,Vélez Sarsfield,€5.5M,€15K,Right,1.0,Medium/ High,184cm,79.0
5932,22 L. Chávez,21,Peru,62,Club Universitario de Deportes,€900K,€500,Left,1.0,High/ Medium,175cm,71.0
5933,21 A. Vargas,24,Paraguay,61,Club Sol de América,€450K,€500,Left,1.0,Medium/ High,180cm,77.0
5934,T. St. Jago,22,Netherlands,70,FC Utrecht,€3.3M,€7K,Right,1.0,Medium/ Medium,186cm,68.0
5935,M. Hassan,30,Qatar,65,,€0,€0,Right,1.0,Medium/ Medium,170cm,62.0
5936,21 Luiz Henrique,23,Brazil,66,Moreirense FC,€1.4M,€4K,Right,1.0,Medium/ Medium,171cm,64.0
5937,21 Adriano Castanheira,27,Portugal,66,FC Paços de Ferreira,€900K,€3K,Left,1.0,Medium/ Medium,170cm,76.0
5938,20 B. Garmston,25,Republic of Ireland,61,Grimsby Town,€275K,€2K,Left,1.0,Medium/ Medium,183cm,84.0
5939,N. Kenneh,19,England,64,Hibernian,€1.2M,€1K,Right,1.0,Low/ High,188cm,76.0
5940,V. Lind,19,Denmark,63,FC Midtjylland,€1.1M,€4K,Left,1.0,High/ Medium,178cm,70.0
5941,C. Drameh,20,England,68,Leeds United,€2.8M,€10K,Right,1.0,High/ Medium,184cm,73.0
5942,J. Murphy,27,England,67,Oxford United,€1.1M,€5K,Right,1.0,High/ Low,173cm,67.0
5943,A. Espínola,31,Paraguay,70,Club Cerro Porteño,€1.2M,€550,Right,1.0,High/ Medium,179cm,82.0
5944,Dani Vidal,22,Spain,60,CD Lugo,€550K,€1K,Right,1.0,Medium/ Medium,183cm,66.0
5945,C. Olivares,23,Peru,65,Club Sporting Cristal,€1.6M,€500,Right,1.0,Medium/ Medium,186cm,80.0
